Posting Date;Document Date;Document Header Text;Purchase Order;Reference;Material;Material Description;Plant;Storage Location;Movement Type;Material Document;Batch;Qty in Un. of Entry;Unit of Entry;Entry Date;Time of Entry;User name;Base Unit of Measure;Quantity;Debit/Credit Ind.;Amount in LC;Sales Order;Text;Customer;Vendor;Vendor Name;Goods recipient;SO;SaType;Sold to party;Name 1;PO Number;NO PEB;Tanggal PEB;KilosConvertion
2023/03/21;2023/03/24;;;2049366881;124000114;RC 1000 KG C/B Exp NEX;2201;2014;601;4048816061;P12032023;-58;MT;2023/03/27;14:08:08;ID0485;CB;-58;H;0;;;1100000001;;;1100000001;849231335;ZEXO;1100000001;AJINOMOTO CO.. INC.;IM-23033;;1900/01/01;-58000
2023/03/07;2023/03/09;;;2049193429;124000016;IRC 20KG P/B Exp NEX;2201;2014;601;4048791108;P01032023;-6;MT;2023/03/21;16:05:49;ID0485;BAG;-300;H;0;;;1100000001;;;1100000001;848599795;ZEXO;1100000001;AJINOMOTO CO.. INC.;SN-23031;;1900/01/01;-6000
2023/03/16;2023/03/17;;;2049298997;124000401;RC 454GR (1x40) Type A NEX;2201;2014;601;4048791129;P09032023;-14.528;MT;2023/03/21;16:07:33;ID0485;CAR;-800;H;0;;;1100000001;;;1100000001;849221856;ZEXO;1100000001;AJINOMOTO CO.. INC.;AN-230316;;1900/01/01;-14528
2023/03/21;2023/03/24;;;2049366881;124000114;RC 1000 KG C/B Exp NEX;2201;2014;601;4048816061;P11032023;-24;MT;2023/03/27;14:08:08;ID0485;CB;-24;H;0;;;1100000001;;;1100000001;849231335;ZEXO;1100000001;AJINOMOTO CO.. INC.;IM-23033;;1900/01/01;-24000
2023/03/21;2023/03/24;;;2049366881;124000114;RC 1000 KG C/B Exp NEX;2201;2014;601;4048816061;P13032023;-134;MT;2023/03/27;14:08:08;ID0485;CB;-134;H;0;;;1100000001;;;1100000001;849231335;ZEXO;1100000001;AJINOMOTO CO.. INC.;IM-23033;;1900/01/01;-134000
2023/03/16;2023/03/17;;;2049298997;124000401;RC 454GR (1x40) Type A NEX;2201;2014;601;4048791129;P10032023;-1.271;MT;2023/03/21;16:07:33;ID0485;CAR;-69.989;H;0;;;1100000001;;;1100000001;849221856;ZEXO;1100000001;AJINOMOTO CO.. INC.;AN-230316;;1900/01/01;-1271
2023/03/21;2023/03/24;;;2049366881;124000114;RC 1000 KG C/B Exp NEX;2201;2014;601;4048816061;P14032023;-14;MT;2023/03/27;14:08:08;ID0485;CB;-14;H;0;;;1100000001;;;1100000001;849231335;ZEXO;1100000001;AJINOMOTO CO.. INC.;IM-23033;;1900/01/01;-14000
2023/03/21;2023/03/24;;;2049366880;124000012;RC 800KG C/B Exp NEX;2201;2014;601;4048816060;P02032023;-3.2;MT;2023/03/27;14:08:08;ID0485;CB;-4;H;0;;;1100000001;;;1100000001;849231330;ZEXO;1100000001;AJINOMOTO CO.. INC.;IM-23033;;1900/01/01;-3200
2023/03/21;2023/03/24;;;2049366880;124000012;RC 800KG C/B Exp NEX;2201;2014;601;4048816060;P26032023;-4;MT;2023/03/27;14:08:08;ID0485;CB;-5;H;0;;;1100000001;;;1100000001;849231330;ZEXO;1100000001;AJINOMOTO CO.. INC.;IM-23033;;1900/01/01;-4000
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGI DATE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
